idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
174,-1.07314629258517,69.668689517462,-32.8718972029462,15.1055243666894,18.3983961572579,102.540586720408,1
175,-1.05911823647295,69.7519586697099,-32.9561136576535,15.0907744526948,18.3979225060282,102.708072327363,1
176,-1.04509018036072,69.8354698528991,-33.0405464027432,15.0759568479853,18.3974617250779,102.876016255642,1
177,-1.0310621242485,69.9192238752113,-33.1251960849604,15.0610710866905,18.3970138951254,103.044419960172,1
178,-1.01703406813627,70.0032215465281,-33.2100633526089,15.0461166986659,18.3965790969596,103.213284899137,1
179,-1.00300601202405,70.0874636784134,-33.2951488555494,15.0310932094439,18.396157411432,103.382612533963,1
180,-0.988977955911824,70.1719510840963,-33.3804532451973,15.0160001401843,18.3957489194495,103.552404329294,1
181,-0.974949899799599,70.2566845784517,-33.465977174521,15.0008370076239,18.3953537019654,103.722661752973,1
182,-0.960921843687375,70.3416649779826,-33.5517212980391,14.9856033240254,18.3949718399718,103.893386276022,1
183,-0.94689378757515,70.4268931008003,-33.6376862718186,14.9702985971257,18.3946034144909,104.064579372619,1
184,-0.932865731462926,70.5123697666053,-33.7238727534726,14.9549223300832,18.3942485065663,104.236242520078,1
185,-0.918837675350701,70.5980957966668,-33.810281402158,14.939474021425,18.3939071972544,104.408377198825,1
186,-0.904809619238477,70.684072013803,-33.896912878573,14.9239531649927,18.393579567615,104.580984892376,1
187,-0.890781563126253,70.7702992423594,-33.9837678449549,14.9083592498875,18.3932656987022,104.754067087314,1
188,-0.876753507014028,70.856778308188,-34.0708469650775,14.8926917604151,18.3929656715552,104.927625273265,1
189,-0.862725450901804,70.9435100386254,-34.1581509042485,14.8769501760294,18.3926795671884,105.101660942874,1
190,-0.848697394789579,71.0304952624704,-34.2456803293073,14.861133971275,18.3924074665816,105.276175591778,1
191,-0.834669338677355,71.1177348099615,-34.3334359086221,14.8452426157302,18.3921494506697,105.451170718584,1
192,-0.82064128256513,71.2052295127534,-34.4214183120872,14.8292755739474,18.3919056003331,105.626647824841,1
193,-0.806613226452906,71.2929802038934,-34.5096282111207,14.8132323053942,18.3916759963863,105.802608415014,1
194,-0.792585170340681,71.3809877177974,-34.5980662786615,14.797112264393,18.391460719568,105.979053996459,1
195,-0.778557114228457,71.4692528902251,-34.6867331891664,14.7809149000597,18.3912598505294,106.155986079392,1
196,-0.764529058116233,71.5577765582547,-34.7756296186076,14.7646396562416,18.3910734698235,106.333406176862,1
197,-0.750501002004008,71.6465595602571,-34.8647562444696,14.7482859714544,18.3909016578938,106.511315804727,1
198,-0.736472945891784,71.7356027358703,-34.9541137457466,14.7318532788186,18.3907444950619,106.689716481617,1
199,-0.722444889779559,71.8249069259719,-35.0437028029391,14.7153410059944,18.3906020615164,106.868609728911,1
200,-0.708416833667335,71.9144729726522,-35.1335240980513,14.6987485751161,18.3904744373004,107.047997070704,1
201,-0.69438877755511,72.0043017191864,-35.2235783145882,14.6820754027257,18.3903617022991,107.227880033775,1
202,-0.680360721442886,72.0943940100063,-35.313866137552,14.6653208997049,18.3902639362272,107.408260147558,1
203,-0.666332665330661,72.1847506906712,-35.4043882534395,14.6484844712066,18.3901812186158,107.589138944111,1
204,-0.652304609218437,72.2753726078386,-35.4951453502392,14.6315655165854,18.3901136287997,107.770517958078,1
205,-0.638276553106212,72.366260609234,-35.5861381174272,14.6145634293271,18.3900612459034,107.952398726661,1
